[8.912047386169434, 0.0]
[310.34649658203125, 0.0]
[5.963318824768066, 0.0]
[39.51747131347656, 0.0]
[28.230270385742188, 0.0]
[46.32990264892578, 0.0]
[775.4725341796875, 0.0]
[17.054100036621094, 0.0]
[151.40809631347656, 0.0]
[438.53753662109375, 0.0]
[539.4195556640625, 0.0]
[27.565412521362305, 0.0]
[331.704833984375, 0.0]
[77.5067138671875, 0.0]
[613.419677734375, 0.0]
[274.1991271972656, 0.0]
[49.913978576660156, 0.0]
[41.574913024902344, 0.0]
[3017.519287109375, 0.0]
[368.5174255371094, 0.0]
[97.52330780029297, 0.0]
[450.94842529296875, 0.0]
[73.67637634277344, 0.0]
[722.5919799804688, 0.0]
[111.6549072265625, 0.0]
[264.2147216796875, 0.0]
[154.98678588867188, 0.0]
[137.31192016601562, 0.0]
[1327.58935546875, 0.0]
[129.62060546875, 0.0]
[849.540771484375, 0.0]
[111.26383209228516, 0.0]
[621.6853637695312, 0.0]
[156.76365661621094, 0.0]
[873.078125, 0.0]
[1834.6553955078125, 0.0]
[180.2982177734375, 0.0]
[138.1429901123047, 0.0]
[307.7895812988281, 0.0]
[668.5712280273438, 0.0]
[121.70330810546875, 0.0]
[460.69598388671875, 0.0]
[146.2675018310547, 0.0]
[222.72581481933594, 0.0]
[123.59333801269531, 0.0]
[543.5275268554688, 0.0]
[224.64625549316406, 0.0]
[476.86236572265625, 0.0]
[173.91909790039062, 0.0]
[114.2571792602539, 0.0]
[145.03277587890625, 0.0]
[271.0649719238281, 0.0]
[112.8136215209961, 0.0]
[149.294921875, 0.0]
[253.89463806152344, 0.0]
[773.9323120117188, 0.0]
[182.47119140625, 0.0]
[226.6791229248047, 0.0]
[104.31098937988281, 0.0]
[151.92529296875, 0.0]
[419.02117919921875, 0.0]
[96.62899780273438, 0.0]
[671.0917358398438, 0.0]
[192.43267822265625, 0.0]
[1463.8509521484375, 0.0]
[754.9130249023438, 0.0]
[140.309326171875, 0.0]
[636.56201171875, 0.0]
[145.74066162109375, 0.0]
[1568.0472412109375, 0.0]
[299.93646240234375, 0.0]
[218.93307495117188, 0.0]
[991.6180419921875, 0.0]
[127.5147705078125, 0.0]
[454.5778503417969, 0.0]
[474.0433349609375, 0.0]
[140.42047119140625, 0.0]
[626.3701782226562, 0.0]
[387.3132629394531, 0.0]
[157.278564453125, 0.0]
[289.77593994140625, 0.0]
[750.2244873046875, 0.0]
[541.6473388671875, 0.0]
[159.59803771972656, 0.0]
[167.0899658203125, 0.0]
[168.37435913085938, 0.0]
[284.8055419921875, 0.0]
[3086.07666015625, 0.0]
[136.08921813964844, 0.0]
[628.719482421875, 0.0]
[161.72772216796875, 0.0]
[230.30001831054688, 0.0]
[311.58837890625, 0.0]
[552.3580322265625, 0.0]
[483.8056640625, 0.0]
[152.10011291503906, 0.0]
[625.40771484375, 0.0]
[1396.8931884765625, 0.0]
[496.6805419921875, 0.0]
[263.45880126953125, 0.0]
[188.7758026123047, 0.0]
[260.21856689453125, 0.0]
[174.57826232910156, 0.0]
[162.26507568359375, 0.0]
[180.522216796875, 0.0]
[374.7321472167969, 0.0]
[275.84442138671875, 0.0]
[246.0420684814453, 0.0]
[207.05252075195312, 0.0]
[145.51756286621094, 0.0]
[630.044677734375, 0.0]
[621.8065185546875, 0.0]
[227.0120849609375, 0.0]
[422.35791015625, 0.0]
[633.2127075195312, 0.0]
[1214.938232421875, 0.0]
[425.260498046875, 0.0]
[576.1260375976562, 0.0]
[287.5758361816406, 0.0]
[206.41009521484375, 0.0]
[559.6116333007812, 0.0]
[159.4986572265625, 0.0]
[1421.074462890625, 0.0]
[181.5493927001953, 0.0]
[205.18267822265625, 0.0]
[213.33827209472656, 0.0]
[275.346435546875, 0.0]
[486.26593017578125, 0.0]
[487.0096130371094, 0.0]
[238.63267517089844, 0.0]
[699.5260009765625, 0.0]
[290.4068603515625, 0.0]
[166.60818481445312, 0.0]
[156.78465270996094, 0.0]
[563.8984375, 0.0]
[211.529296875, 0.0]
[465.7714538574219, 0.0]
[199.9264678955078, 0.0]
[177.45425415039062, 0.0]
[1118.528564453125, 0.0]
[739.0476684570312, 0.0]
[380.04644775390625, 0.0]
[511.51544189453125, 0.0]
[244.55307006835938, 0.0]
[182.6779327392578, 0.0]
[215.69686889648438, 0.0]
[315.939453125, 0.0]
[376.82159423828125, 0.0]
[327.9588623046875, 0.0]
[347.8280029296875, 0.0]
[309.534423828125, 0.0]
[590.5846557617188, 0.0]
[321.67840576171875, 0.0]
[612.4251708984375, 0.0]
[693.0986328125, 0.0]
[884.601806640625, 0.0]
[545.2279052734375, 0.0]
[766.126220703125, 0.0]
[417.0627136230469, 0.0]
[1758.4681396484375, 0.0]
[374.96685791015625, 0.0]
[345.7193908691406, 0.0]
[249.4163055419922, 0.0]
[922.89013671875, 0.0]
[383.9155578613281, 0.0]
