[15.455397786796084, 0.0]
[343.1314659810066, 0.0]
[6.5933268873393445, 0.0]
[38.934964882433405, 0.0]
[27.627174323648205, 0.0]
[47.83787208631634, 0.0]
[786.9794566726684, 0.0]
[18.821136458069077, 0.0]
[152.29604536131023, 0.0]
[439.7852360329032, 0.0]
[539.1064230373502, 0.0]
[28.42094819828867, 0.0]
[332.42069231554865, 0.0]
[80.45959150627255, 0.0]
[614.5959347502701, 0.0]
[276.817290263474, 0.0]
[53.04477618470787, 0.0]
[41.79332509472965, 0.0]
[2810.1577746963503, 0.0]
[370.92994568239897, 0.0]
[100.90044411852955, 0.0]
[451.3239179609716, 0.0]
[78.42904319450258, 0.0]
[723.3890419884026, 0.0]
[115.26817400589584, 0.0]
[268.41039475262164, 0.0]
[157.80411626979708, 0.0]
[141.40022682234644, 0.0]
[1332.8487068510055, 0.0]
[131.52024648174643, 0.0]
[850.5428416749835, 0.0]
[116.35915187954902, 0.0]
[622.7339702343941, 0.0]
[158.22487217769026, 0.0]
[874.7470234429836, 0.0]
[1845.420074710846, 0.0]
[186.55295769333839, 0.0]
[139.65092279225587, 0.0]
[308.2199375426769, 0.0]
[669.5502822899632, 0.0]
[123.78294892817735, 0.0]
[461.63821031734346, 0.0]
[150.1723874530196, 0.0]
[223.79213713690638, 0.0]
[126.50423361942171, 0.0]
[550.6400900503993, 0.0]
[235.3523031195998, 0.0]
[477.3982456421852, 0.0]
[174.79134873136877, 0.0]
[114.89199253752827, 0.0]
[144.60279139712452, 0.0]
[270.8297034560144, 0.0]
[116.61688212141394, 0.0]
[153.28028673142194, 0.0]
[257.462102124691, 0.0]
[773.9755268788338, 0.0]
[183.22630169823765, 0.0]
[227.38685799226164, 0.0]
[105.96908630639314, 0.0]
[152.28522292360663, 0.0]
[420.33716948073356, 0.0]
[99.82467511877417, 0.0]
[673.1504605209827, 0.0]
[193.24952431231736, 0.0]
[1469.1237022972107, 0.0]
[755.7170043869316, 0.0]
[142.55640578851103, 0.0]
[639.9218134602904, 0.0]
[147.35939085319637, 0.0]
[1575.0755362606048, 0.0]
[300.8186193874478, 0.0]
[222.8885183429718, 0.0]
[992.7418567112088, 0.0]
[129.33364957407116, 0.0]
[459.45219498708843, 0.0]
[475.94070416152476, 0.0]
[142.15534772932529, 0.0]
[629.8380485868454, 0.0]
[388.36831036046146, 0.0]
[158.25429067224263, 0.0]
[294.45101896137, 0.0]
[755.4282392582297, 0.0]
[547.9920995405316, 0.0]
[164.43155819386243, 0.0]
[168.61937025770544, 0.0]
[169.420025190562, 0.0]
[286.86773926228284, 0.0]
[2879.1577746963503, 0.0]
[137.74480370268225, 0.0]
[628.3164455538988, 0.0]
[163.98314551845192, 0.0]
[232.45967908784746, 0.0]
[311.20641033560037, 0.0]
[553.6757887622714, 0.0]
[484.53894373983144, 0.0]
[156.52624182611703, 0.0]
[629.4465822817199, 0.0]
[1370.799027589839, 0.0]
[492.83889994606375, 0.0]
[265.4640302492678, 0.0]
[189.35584521502255, 0.0]
[260.67757821664213, 0.0]
[174.4479876218736, 0.0]
[163.43263115942477, 0.0]
[181.24251649364828, 0.0]
[374.6437550319731, 0.0]
[277.38966484203934, 0.0]
[248.6206374040246, 0.0]
[207.06706635862588, 0.0]
[146.2347291766107, 0.0]
[629.6060465632379, 0.0]
[623.6738857461512, 0.0]
[229.03751955017447, 0.0]
[421.9299738204479, 0.0]
[633.6510891860723, 0.0]
[1214.5849964006245, 0.0]
[424.0039276985824, 0.0]
[578.8797356171906, 0.0]
[291.2561707741022, 0.0]
[209.78322578057646, 0.0]
[561.0164849741757, 0.0]
[160.47032950654625, 0.0]
[1422.8511247581243, 0.0]
[181.97642849966883, 0.0]
[205.76780218467115, 0.0]
[214.03869018167256, 0.0]
[276.3551156914234, 0.0]
[495.81164185445755, 0.0]
[488.5804285381362, 0.0]
[239.42129929572343, 0.0]
[700.9131065888703, 0.0]
[291.2376987284422, 0.0]
[168.32226002424954, 0.0]
[158.25184421822428, 0.0]
[564.7284633128345, 0.0]
[216.3957892602682, 0.0]
[464.12233930662273, 0.0]
[200.36333930328487, 0.0]
[177.6525444446504, 0.0]
[1119.7828796899319, 0.0]
[741.6563025393896, 0.0]
[383.03563946694135, 0.0]
[511.76880642887204, 0.0]
[247.1378860233724, 0.0]
[184.6341768747568, 0.0]
[216.10329050779342, 0.0]
[319.4503690434992, 0.0]
[377.9767272083461, 0.0]
[329.38821032479404, 0.0]
[347.9602859972417, 0.0]
[312.2138886286318, 0.0]
[591.3937768770754, 0.0]
[324.7145511305332, 0.0]
[614.9615936598182, 0.0]
[696.3012271465175, 0.0]
[885.4760406447947, 0.0]
[546.6311525388062, 0.0]
[768.3324723376334, 0.0]
[418.5436020849645, 0.0]
[1762.3118867145292, 0.0]
[378.51125839188694, 0.0]
[343.85146704524755, 0.0]
[250.19969724699854, 0.0]
[923.2374905443191, 0.0]
[384.1271752437949, 0.0]
[585.8142553327978, 0.0]
[416.9566566555202, 0.0]
[261.73774474695324, 0.0]
[300.12260306462645, 0.0]
[1979.420074710846, 0.0]
[254.96517681539058, 0.0]
[295.3524617424607, 0.0]
[321.0101197233796, 0.0]
[653.3009425795078, 0.0]
[994.2603587785177, 0.0]
[383.458018502444, 0.0]
[710.422473521661, 0.0]
[520.4061600102484, 0.0]
[2783.7078414952757, 0.0]
[482.1231809204817, 0.0]
[2189.8166143989565, 0.0]
[491.7051463893056, 0.0]
[267.07926786899566, 0.0]
[524.0676642034575, 0.0]
[1084.543452630043, 0.0]
[436.11857028141617, 0.0]
[290.29406301513313, 0.0]
[339.0185705406964, 0.0]
[339.9765036611259, 0.0]
[326.5720577484369, 0.0]
[600.2465069314837, 0.0]
[294.1177812388539, 0.0]
[279.6367446093261, 0.0]
[243.15412732049822, 0.0]
[768.1313879175484, 0.0]
[276.28282609045505, 0.0]
[735.1135657376051, 0.0]
[418.7100804618001, 0.0]
[437.6494186466932, 0.0]
[576.5598336581513, 0.0]
[616.8239096833765, 0.0]
[245.85552924335002, 0.0]
[542.2574780706689, 0.0]
[433.6363409368694, 0.0]
[424.3968892714381, 0.0]
[259.0549454821646, 0.0]
[235.1609315855801, 0.0]
[433.4674044384062, 0.0]
[295.6812324768305, 0.0]
[335.1739664694667, 0.0]
[366.1630919112265, 0.0]
[256.341373270601, 0.0]
[728.3751902973652, 0.0]
[324.4630516862869, 0.0]
[276.37599279753863, 0.0]
[814.1253510417789, 0.0]
[316.12470975913106, 0.0]
[505.3556375673413, 0.0]
[404.7687062884122, 0.0]
[320.874056866616, 0.0]
[507.7059459092468, 0.0]
[852.1372294800728, 0.0]
[438.3013345750421, 0.0]
[325.8840166425705, 0.0]
[783.0989973081648, 0.0]
[385.71081341825425, 0.0]
[409.28453530207275, 0.0]
[598.6427424207702, 0.0]
[330.7410887314379, 0.0]
[404.34352857641875, 0.0]
[732.3209986442141, 0.0]
[759.1839855017513, 0.0]
[582.3997363459691, 0.0]
[613.785854403153, 0.0]
[1324.8179741299152, 0.0]
[422.37813672445714, 0.0]
[557.8664935289323, 0.0]
[320.0112126918882, 0.0]
[310.27897721365093, 0.0]
[391.8531192114949, 0.0]
[362.34426646143197, 0.0]
[407.01574173033237, 0.0]
[424.70992846809327, 0.0]
[1543.8806884589046, 0.0]
[684.1395282002538, 0.0]
[1141.4457202830724, 0.0]
[303.4674694689363, 0.0]
[430.97831833571195, 0.0]
[299.2340312155336, 0.0]
[751.3923020905256, 0.0]
[323.69139812909066, 0.0]
[388.9590660429001, 0.0]
[1352.5783416184038, 0.0]
[984.2988243161142, 0.0]
[459.8923543526232, 0.0]
[986.0466420280188, 0.0]
[403.7435686329752, 0.0]
[494.05339965991675, 0.0]
[629.898557893224, 0.0]
[732.6723023189604, 0.0]
[378.7178545577824, 0.0]
[307.8003919238597, 0.0]
[475.21308550074696, 0.0]
[326.9216337392479, 0.0]
