[321.6872427083736, 0.0]
[364.2749430925191, 0.0]
[296.43968028439576, 0.0]
[339.5398531246754, 0.0]
[334.89523550890675, 0.0]
[341.72952021316075, 0.0]
[368.19819790368507, 0.0]
[321.26555956604676, 0.0]
[353.4251495188642, 0.0]
[361.78986250960145, 0.0]
[363.92178145531875, 0.0]
[325.9233353284481, 0.0]
[359.0851539076818, 0.0]
[343.643184738454, 0.0]
[364.07142723140345, 0.0]
[356.75624582574636, 0.0]
[335.28612827567616, 0.0]
[330.5074412159245, 0.0]
[374.9462082074498, 0.0]
[358.17906648444813, 0.0]
[343.7217731660185, 0.0]
[358.59019190602186, 0.0]
[338.5081816472058, 0.0]
[362.8844892458271, 0.0]
[344.4708681798867, 0.0]
[353.0044232129909, 0.0]
[347.36162656037516, 0.0]
[346.48761422601984, 0.0]
[366.9904596585172, 0.0]
[345.827904431591, 0.0]
[362.77671878021283, 0.0]
[341.9642438556197, 0.0]
[359.530102696117, 0.0]
[345.9956395687911, 0.0]
[363.1135803256169, 0.0]
[369.0071269893845, 0.0]
[348.70183231262513, 0.0]
[343.6076029195397, 0.0]
[354.0858786983519, 0.0]
[360.63768680977216, 0.0]
[341.98581975282565, 0.0]
[357.2875867869211, 0.0]
[344.39501175662315, 0.0]
[350.4221212409935, 0.0]
[342.20319968972336, 0.0]
[358.00516924570206, 0.0]
[349.2359117465518, 0.0]
[356.0462683973124, 0.0]
[345.8749365775245, 0.0]
[339.3576690185573, 0.0]
[342.7826226445765, 0.0]
[349.66312622662645, 0.0]
[339.3478417089833, 0.0]
[342.720041386844, 0.0]
[349.303108154052, 0.0]
[360.6020897571255, 0.0]
[345.0457209975172, 0.0]
[349.3295999944719, 0.0]
[334.6743774293359, 0.0]
[342.41079524444507, 0.0]
[354.1495345818449, 0.0]
[332.7365546950168, 0.0]
[358.39947314192796, 0.0]
[346.0660250595833, 0.0]
[365.7070460937779, 0.0]
[360.1233606774594, 0.0]
[339.05554815619195, 0.0]
[358.40612767146996, 0.0]
[339.8968584752464, 0.0]
[365.23403125795073, 0.0]
[349.8037965954968, 0.0]
[345.64611519519895, 0.0]
[361.826669926484, 0.0]
[336.1393749692316, 0.0]
[354.9731873859472, 0.0]
[355.7350044963487, 0.0]
[339.42636318386457, 0.0]
[358.1357547418545, 0.0]
[353.2277553714015, 0.0]
[339.86533490312047, 0.0]
[348.02094367247804, 0.0]
[358.0014530694617, 0.0]
[356.64237859859406, 0.0]
[340.6818009771118, 0.0]
[340.07929428880885, 0.0]
[339.3050089469252, 0.0]
[347.7533629977451, 0.0]
[371.41661799250926, 0.0]
[334.2024505305612, 0.0]
[357.1031563520104, 0.0]
[338.0438505432666, 0.0]
[344.4037976158197, 0.0]
[348.76782996497997, 0.0]
[353.8064627798469, 0.0]
[354.22611183452176, 0.0]
[336.2794304994556, 0.0]
[357.0881617396279, 0.0]
[363.495768044154, 0.0]
[354.2381399847724, 0.0]
[346.6618245454523, 0.0]
[339.26772186544383, 0.0]
[346.6519104397668, 0.0]
[337.2076465916235, 0.0]
[335.9944056402903, 0.0]
[339.69668405506593, 0.0]
[350.4376332012833, 0.0]
[346.1950151989161, 0.0]
[344.9741598197632, 0.0]
[340.8169322971582, 0.0]
[329.51154930221946, 0.0]
[356.3854138050775, 0.0]
[355.2324001110419, 0.0]
[343.0666031240974, 0.0]
[351.7342452347221, 0.0]
[356.415452559442, 0.0]
[361.8624278516608, 0.0]
[349.7863229341743, 0.0]
[353.49639828498766, 0.0]
[344.6771179740858, 0.0]
[339.0887047212776, 0.0]
[354.52034457396127, 0.0]
[331.6051349570796, 0.0]
[363.0521502035483, 0.0]
[336.32371331345985, 0.0]
[337.9607253411161, 0.0]
[339.8409869005421, 0.0]
[343.3981006262393, 0.0]
[352.8010529903924, 0.0]
[351.3292349669372, 0.0]
[341.0635279263955, 0.0]
[356.6356211346917, 0.0]
[345.19529407438864, 0.0]
[328.8130350008407, 0.0]
[325.6956622118127, 0.0]
[354.3881246614454, 0.0]
[337.062418329871, 0.0]
[350.8403479851846, 0.0]
[336.37002414789015, 0.0]
[332.01226786185947, 0.0]
[359.96306288542405, 0.0]
[357.0329772994023, 0.0]
[349.4315502338899, 0.0]
[351.8929246926752, 0.0]
[341.3933420117971, 0.0]
[329.7727287534084, 0.0]
[337.947357159813, 0.0]
[344.70758571835626, 0.0]
[348.0117668244171, 0.0]
[346.7349841831207, 0.0]
[347.6093628847312, 0.0]
[345.2655631316644, 0.0]
[352.3350611163269, 0.0]
[345.3598073431891, 0.0]
[354.62762909747516, 0.0]
[354.8041589024404, 0.0]
[358.4866491256339, 0.0]
[350.85338349948245, 0.0]
[355.2375686004739, 0.0]
[348.4532976380142, 0.0]
[364.47417558603536, 0.0]
[346.5667930302504, 0.0]
[346.1518452826711, 0.0]
[339.5616353513107, 0.0]
[356.86975999131676, 0.0]
[347.4226972914207, 0.0]
[352.57847146546175, 0.0]
[348.3475321296756, 0.0]
[338.5596068843258, 0.0]
[343.30628054257227, 0.0]
[365.43321922355335, 0.0]
[337.384964651216, 0.0]
[341.78021932656804, 0.0]
[343.2898967484932, 0.0]
[353.10014219790656, 0.0]
[359.0483154754622, 0.0]
[345.34118079630247, 0.0]
[354.19691082599167, 0.0]
[350.9634632838353, 0.0]
[367.5079786641116, 0.0]
[350.30135470084525, 0.0]
[365.1557616555698, 0.0]
[350.60759176496634, 0.0]
[337.4455405606786, 0.0]
[349.77533334401704, 0.0]
[358.60455469488153, 0.0]
[347.7473531950158, 0.0]
[339.1784467806226, 0.0]
[344.3430743407569, 0.0]
[343.49768763676036, 0.0]
[343.0033773333194, 0.0]
[352.6109103856599, 0.0]
[340.783631314111, 0.0]
[338.46757705771114, 0.0]
[331.91000764383244, 0.0]
[355.60435850228043, 0.0]
[336.3139648137637, 0.0]
[354.9622995463093, 0.0]
[346.5601207639866, 0.0]
[347.703953826341, 0.0]
[350.0048207902723, 0.0]
[352.3913852211315, 0.0]
[330.76104956252505, 0.0]
[349.528309233982, 0.0]
[345.7750090588462, 0.0]
[346.25279667940663, 0.0]
[333.85276196446944, 0.0]
