[44.480881195068356, 0.0]
[442.1282179260254, 0.0]
[29.63588119506836, 0.0]
[57.27346084594726, 0.0]
[84.74205699920654, 0.0]
[50.547814559936526, 0.0]
[759.91, 0.0]
[26.51588119506836, 0.0]
[202.51514053344727, 0.0]
[460.4, 0.0]
[626.3982179260254, 0.0]
[35.86754791259766, 0.0]
[345.413473815918, 0.0]
[85.15166664123535, 0.0]
[589.55, 0.0]
[263.56078689575196, 0.0]
[49.326527481079104, 0.0]
[46.81888126373291, 0.0]
[2559.9, 0.0]
[358.3176405334473, 0.0]
[82.54486083984375, 0.0]
[451.20514053344726, 0.0]
[59.443460845947264, 0.0]
[672.9182179260254, 0.0]
[95.25504783630372, 0.0]
[259.8629437255859, 0.0]
[138.00531463623048, 0.0]
[126.49088119506835, 0.0]
[1323.9564111328125, 0.0]
[119.60632987976074, 0.0]
[754.6282179260254, 0.0]
[85.08250846862794, 0.0]
[551.0018072509765, 0.0]
[128.78346084594727, 0.0]
[784.5582179260253, 0.0]
[1716.423077392578, 0.0]
[161.21504791259767, 0.0]
[101.17346084594726, 0.0]
[289.47930725097655, 0.0]
[628.1182179260254, 0.0]
[87.09198120117188, 0.0]
[412.2401405334473, 0.0]
[106.34614784240722, 0.0]
[183.95838119506837, 0.0]
[91.11088119506836, 0.0]
[515.2651405334473, 0.0]
[175.53902755737306, 0.0]
[415.805, 0.0]
[119.97652755737305, 0.0]
[77.07948127746582, 0.0]
[98.58281455993652, 0.0]
[227.92430725097657, 0.0]
[69.12486083984375, 0.0]
[105.68614791870117, 0.0]
[200.38754791259765, 0.0]
[685.3782179260254, 0.0]
[129.67602493286134, 0.0]
[169.36, 0.0]
[62.302241821289066, 0.0]
[88.05666664123535, 0.0]
[355.65180725097656, 0.0]
[49.61986083984375, 0.0]
[558.07, 0.0]
[139.55469078063965, 0.0]
[1362.8564111328126, 0.0]
[629.29, 0.0]
[78.03442863464356, 0.0]
[548.3751405334473, 0.0]
[81.99500846862793, 0.0]
[1447.05, 0.0]
[237.33180725097657, 0.0]
[145.95846084594726, 0.0]
[833.425, 0.0]
[63.33154792785645, 0.0]
[383.16723068237303, 0.0]
[381.92871032714845, 0.0]
[79.34035228729248, 0.0]
[513.3497306823731, 0.0]
[297.17, 0.0]
[84.79052719116211, 0.0]
[200.5585401916504, 0.0]
[620.6434739685059, 0.0]
[442.1951405334473, 0.0]
[87.60504783630371, 0.0]
[90.78388435363769, 0.0]
[93.68948806762695, 0.0]
[204.0, 0.0]
[2331.623077392578, 0.0]
[57.742138061523434, 0.0]
[519.9551405334473, 0.0]
[81.86059234619141, 0.0]
[141.18114791870119, 0.0]
[216.23921463012695, 0.0]
[401.63537704467774, 0.0]
[379.38973068237306, 0.0]
[65.73945098876953, 0.0]
[486.79871032714846, 0.0]
[1176.1230773925781, 0.0]
[401.0833334350586, 0.0]
[171.40111770629883, 0.0]
[93.02614791870117, 0.0]
[164.80826049804688, 0.0]
[82.36055099487305, 0.0]
[67.45004791259765, 0.0]
[80.54861770629883, 0.0]
[262.2643072509766, 0.0]
[169.24630477905274, 0.0]
[139.77945098876953, 0.0]
[104.94848129272461, 0.0]
[49.35445098876953, 0.0]
[494.893480682373, 0.0]
[486.65180725097656, 0.0]
[111.4313047027588, 0.0]
[294.2591404724121, 0.0]
[511.60514053344724, 0.0]
[1059.923077392578, 0.0]
[300.61966430664063, 0.0]
[439.60180725097655, 0.0]
[165.12445098876952, 0.0]
[96.55805099487304, 0.0]
[414.56877700805666, 0.0]
[50.34445098876953, 0.0]
[1244.5897448730468, 0.0]
[63.72945098876953, 0.0]
[88.87073806762696, 0.0]
[102.70576210021973, 0.0]
[142.14805099487305, 0.0]
[371.47264053344725, 0.0]
[347.88442474365235, 0.0]
[105.53142860412598, 0.0]
[519.4647306823731, 0.0]
[159.07171447753908, 0.0]
[45.434450988769534, 0.0]
