[34.76715408325195, 0.0]
[380.23715408325194, 0.0]
[31.89715408325195, 0.0]
[58.1850089263916, 0.0]
[53.20294532775879, 0.0]
[62.1967374420166, 0.0]
[708.3, 0.0]
[34.876737442016605, 0.0]
[172.7433445739746, 0.0]
[418.1333334350586, 0.0]
[571.8038206481933, 0.0]
[42.750917510986326, 0.0]
[298.44382064819337, 0.0]
[87.5, 0.0]
[576.68, 0.0]
[290.793328704834, 0.0]
[56.45784858703613, 0.0]
[43.40046295166016, 0.0]
[2530.56, 0.0]
[373.54382064819333, 0.0]
[87.84485664367676, 0.0]
[403.27715408325196, 0.0]
[69.1617374420166, 0.0]
[646.8138206481933, 0.0]
[102.77284858703614, 0.0]
[274.59715408325195, 0.0]
[145.01001121520997, 0.0]
[136.33934455871582, 0.0]
[1262.1, 0.0]
[122.14684455871583, 0.0]
[687.7604875183106, 0.0]
[89.1375089263916, 0.0]
[568.4204872131347, 0.0]
[124.51919937133789, 0.0]
[780.147154083252, 0.0]
[1752.21, 0.0]
[156.1233445739746, 0.0]
[108.1250089263916, 0.0]
[264.8242970275879, 0.0]
[565.387154083252, 0.0]
[95.87878288269043, 0.0]
[381.88715408325197, 0.0]
[119.18628288269043, 0.0]
[178.83715408325196, 0.0]
[97.31826522827149, 0.0]
[526.647154083252, 0.0]
[201.55124549865724, 0.0]
[418.4, 0.0]
[132.49660263061523, 0.0]
[79.7037963104248, 0.0]
[105.7687963104248, 0.0]
[224.15379638671874, 0.0]
[73.59666213989257, 0.0]
[111.90379631042481, 0.0]
[194.42046295166017, 0.0]
[687.8083662414551, 0.0]
[135.73961601257324, 0.0]
[173.4, 0.0]
[60.734500885009766, 0.0]
[102.65, 0.0]
[340.00879638671876, 0.0]
[56.926245498657224, 0.0]
[555.6633331298829, 0.0]
[134.0920945739746, 0.0]
[1408.5445458984375, 0.0]
[648.8, 0.0]
[116.375, 0.0]
[564.5571540832519, 0.0]
[84.5750089263916, 0.0]
[1585.4345458984376, 0.0]
[242.07508422851564, 0.0]
[159.66794929504394, 0.0]
[783.2833334350586, 0.0]
[72.02591751098633, 0.0]
[398.09715408325195, 0.0]
[373.2471540832519, 0.0]
[80.73715408325195, 0.0]
[500.46382064819335, 0.0]
[302.36, 0.0]
[84.72874549865723, 0.0]
[200.5100089263916, 0.0]
[571.0875840759277, 0.0]
[457.6738206481934, 0.0]
[90.5879874420166, 0.0]
[90.01862007141114, 0.0]
[90.73254631042481, 0.0]
[198.56, 0.0]
[2478.1, 0.0]
[66.84625083923339, 0.0]
[509.67215408325194, 0.0]
[100.87202865600585, 0.0]
[150.0216534423828, 0.0]
[213.96336624145508, 0.0]
[416.08591751098635, 0.0]
[367.6742970275879, 0.0]
[70.14024551391601, 0.0]
[490.5538206481934, 0.0]
[1151.5388569641113, 0.0]
[403.33, 0.0]
[163.74624549865723, 0.0]
[98.62379631042481, 0.0]
[164.63666213989256, 0.0]
[82.2650089263916, 0.0]
[68.54046295166016, 0.0]
[88.30166213989258, 0.0]
[247.40715408325195, 0.0]
[168.83128288269043, 0.0]
[144.81624549865722, 0.0]
[106.31046295166016, 0.0]
[52.433758926391604, 0.0]
[494.01382064819336, 0.0]
[501.09715408325195, 0.0]
[131.63848739624024, 0.0]
[297.447154083252, 0.0]
[506.38882064819336, 0.0]
[1001.6721907043457, 0.0]
[285.86425094604493, 0.0]
[437.655383605957, 0.0]
[169.1150089263916, 0.0]
[101.09175888061523, 0.0]
[418.05715408325193, 0.0]
[55.26499549865723, 0.0]
[1234.1212121582032, 0.0]
[70.61624549865722, 0.0]
[90.93115745544434, 0.0]
[101.40614402770996, 0.0]
[143.6300089263916, 0.0]
[365.33207473754885, 0.0]
[329.6317588806152, 0.0]
[112.83, 0.0]
[514.573328704834, 0.0]
[161.32715408325194, 0.0]
[47.8350089263916, 0.0]
[53.115904083251955, 0.0]
[420.0542970275879, 0.0]
[90.94046295166015, 0.0]
[335.00538360595704, 0.0]
[79.5907374572754, 0.0]
[61.825904083251956, 0.0]
[844.4712080383301, 0.0]
[513.7038206481934, 0.0]
[229.99548736572265, 0.0]
[333.24048751831054, 0.0]
[112.46207878112793, 0.0]
[45.55375, 0.0]
[91.6054874420166, 0.0]
[168.2322508239746, 0.0]
[227.96, 0.0]
[180.64048736572266, 0.0]
[192.01715408325197, 0.0]
[167.94715408325195, 0.0]
[382.8437747192383, 0.0]
[163.67628288269043, 0.0]
[448.70707473754885, 0.0]
[488.64620178222657, 0.0]
[678.25, 0.0]
[347.62796508789063, 0.0]
[538.0642509460449, 0.0]
[229.96913177490234, 0.0]
[1510.8045458984375, 0.0]
[206.86087966918944, 0.0]
[185.36786834716796, 0.0]
[99.26807090759277, 0.0]
[629.3532983398437, 0.0]
[218.1119970703125, 0.0]
[381.90955673217775, 0.0]
